id,code,name,description,options,is_random,created_at,updated_at
5,1,TES SERVER MCQ,,,1,2017-07-11 23:01:04,2018-07-14 07:51:01
6,2,tes server ESSAY,,,1,2017-07-11 23:01:19,2018-07-14 07:50:44
7,3,Test coba,,,1,2017-07-31 07:39:48,2017-07-31 07:39:48
8,BE12018,National Board Exam MCQ 4 January 2018,,,1,2017-12-07 18:28:07,2018-01-03 12:49:05
9,BE12018-E,National Board Exam Short Essay 4 January 2018,,,1,2017-12-10 02:49:24,2018-01-03 12:49:12
10,123,PEMILIHAN SOAL 2017,,,0,2017-12-10 09:16:53,2017-12-10 09:16:53
11,121,abcd,,,1,2017-12-26 09:44:03,2017-12-26 09:45:57
12,11718,TRY OUT MCQ 11 JULI 2018,,,1,2017-12-27 13:01:36,2018-07-09 23:54:19
13,281217,Trial MCQ 281217,try out MCQ 28 December 2017,,1,2017-12-27 13:24:23,2017-12-27 13:24:23
14,281217,TRY OUT ESSAY 281217,TRY OUT DESEMBER 2017,,1,2017-12-27 13:45:41,2017-12-27 13:45:41
15,BE18718MCQ,NATIONAL BOARD EXAM MCQ 18 JULI 2018,,,1,2018-07-01 09:53:38,2018-07-18 06:17:37
16,11718,TRY OUT ESSAY 11 JULI 2018,,,1,2018-07-09 08:04:08,2018-07-09 23:34:15
17,BE18718ESSAY,NATIONAL BOARD EXAM ESSAY 18 JULI 2018,,,1,2018-07-12 21:55:00,2018-07-16 13:15:48
18,121,TES SERVER ESSAY 14072018,,,1,2018-07-14 07:51:42,2018-07-14 08:06:28
19,212,TES SERVER MCQ 14072018,,,1,2018-07-14 07:52:04,2018-07-14 07:52:15
20,21-1-2018,21-1-2018,Ujian Institusi UNAIR,,1,2018-11-20 04:57:32,2018-11-20 05:49:54
21,21-1-2018 -OSCE,21-1-2018 -OSCE,Ujian Institusi UNAIR OSCE,,0,2018-11-20 05:50:49,2018-11-20 05:50:49
22,BE191218-OSCE,BE191218-OSCE,National Orthopaedic Board Examination Part-1 (OSCE) Surabaya-Jakarta,,1,2018-12-02 09:58:18,2018-12-17 03:12:57
23,BE191218-MCQ,BE191218-MCQ,National Orthopaedic Board Examination Part-1 (MCQ) Surabaya-Jakarta,,1,2018-12-02 13:49:25,2018-12-17 03:13:53
24,111218,TRY OUT ESSAY 11-12-2018,,,1,2018-12-04 17:49:57,2018-12-04 17:49:57
25,11-12-2018,TRY OUT MCQ 11-12-2018,,,1,2018-12-04 17:51:03,2018-12-04 17:51:03
26,BE29519-MCQ,National Board Examination MCQ - 29-05-2019,National Board Examination MCQ - 29-05-2019,,1,2019-05-21 20:39:27,2019-05-26 13:59:40
27,BE29519-OSCE,National Board Examination OSCE - 29-05-2019,National Board Examination OSCE - 29-05-2019,,1,2019-05-26 13:59:24,2019-05-26 13:59:24
28,BE131119-OSCE,NATIONAL BOARD EXAMINATION OSCE - 13 NOVEMBER 2019,"NATIONAL BOARD EXAMINATION OSCE - 13 NOVEMBER 2019
JAKARTA - SURABAYA",,0,2019-11-05 10:09:09,2019-11-05 10:09:09
29,BE131119 - MCQ`,NATIONAL BOARD EXAMINATION MCQ 13 NOVEMBER 2019,"NATIONAL BOARD EXAMINATION MCQ 13 NOVEMBER 2019
JAKARTA - SURABAYA",,0,2019-11-05 10:09:49,2019-11-08 09:44:56
30,IHKS-03-04-2020,IHKS Fellowship Board  Examination 03-04-2020,Ujian  MCQ Fellowship IHKS # April 2020,,1,2020-04-01 07:35:38,2020-04-01 07:35:38
31,OSCE 080520,Trial CBT 080520 - OSCE,Trial CBT OSCE 8 Mei 2020 - 5 soal -khusus kandidat,,1,2020-05-07 19:55:27,2020-05-07 19:57:37
32,MCQ 080520,Try Out CBT 080520 - MCQ,Try Out CBT 8 Mei 2020 - MCQ 50 soal - khusus kandidat,,1,2020-05-07 19:57:03,2020-05-07 20:21:17
33,BE12520-OSCE,National Board Examination OSCE - 12-05-2020,National Board Examination OSCE - 12-05-2020 - 25 soal/ 150 menit,,1,2020-05-11 00:31:32,2020-05-11 02:09:02
34,BE12520-MCQ,National Board Examination MCQ- 12-05-2020,National Board Examination MCQ- 12-05-2020 - 100 soal/ 120 minute,,1,2020-05-11 00:32:30,2020-05-11 00:32:30
35,BE 181120 - OSCE,NATIONAL BOARD EXAMINATION - OSCE -  18 NOV 2020,"National Board Examination of Indonesian Orthopaedic and Traumatology College - Wednesday - Nov 18th, 2020",,1,2020-11-14 21:53:58,2020-11-14 21:53:58
36,BE 181120 - MCQ,NATIONAL BOARD EXAMINATION - MCQ - 18 NOV 2020,"National Board Examination of Indonesian Orthopedic and Traumatology College - Wednesday - Nov 18th, 2020",,1,2020-11-14 21:55:11,2020-11-14 21:55:11
37,BE 270521 - MCQ,NATIONAL BOARD EXAMINATION - MCQ - 27-05-2021,,,1,2021-05-25 21:54:32,2021-05-25 21:58:17
38,BE 270521 - OSCE,NATIONAL BOARD EXAMINATION - OSCE - 27-05-2021,,,1,2021-05-25 22:04:51,2021-05-25 22:04:51
39,TRY OUT 180522 - OSCE,TRY OUT 180522 - OSCE,,,0,2022-05-17 15:49:10,2022-05-17 15:49:10
40,TRY OUT 180522 - MCQ,TRY OUT 180522 - MCQ,,,1,2022-05-17 15:52:52,2022-05-17 15:52:52
41,BE 240522 - MCQ,NATIONAL BOARD EXAMINATION - MCQ - 24-05-2022,NATIONAL BOARD EXAMINATION - MCQ - 24-05-2022 - peserta 50 kandidat,,1,2022-05-21 11:47:06,2022-05-21 11:48:17
42,BE 240522 - OSCE,NATIONAL BOARD EXAMINATION - OSCE - 24-05-2022,NATIONAL BOARD EXAMINATION - OSCE - 24-05-2022 - 50 peserta,,1,2022-05-21 11:47:38,2022-05-21 11:47:50
